"id","created_at","engine","engine_version","mode","trigger","phrase_id","trial","first_text_ms","final_text_ms","visible_at_release","word_error_rate","accuracy","expected","actual"
"BF4470FD-7240-4AE5-B9BC-10BB5B1283FB","2026-08-15T19:59:17Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",2,587.229646,587.229646,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"A10E7CE9-6747-464F-9FF6-E7DB786C64C4","2026-08-15T19:59:25Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",3,725.210625,725.210625,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"B726F9C7-AF3D-4031-8BB9-6ABF8C4AF73A","2026-08-15T19:59:33Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",4,625.941938,625.941938,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"32F38809-A031-4EF0-94E0-B53D7FE2D5A2","2026-08-15T19:59:41Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",5,553.779688,553.779688,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"1FE6B3F1-649A-4BB3-96DC-6D660D4C1F8C","2026-08-15T19:59:49Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",6,538.805104,538.805104,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"36ADBF76-A894-4A15-A3EC-DE3DEAAE2165","2026-08-15T20:00:52Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",7,636.679688,636.679688,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"0D159E42-02A7-43B6-8595-706ADA0C32F4","2026-08-15T20:01:00Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",8,1011.772771,1011.772771,false,0.7142857142857143,0.2857142857142857,"Fast speech to text should feel instant.","Fast speech. "
"40DC7204-48BD-4865-9C78-3126EC962045","2026-08-15T20:01:09Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",9,634.524771,634.524771,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"10A922F4-9F23-4EA9-9394-DFC1228C9729","2026-08-15T20:01:16Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",10,663.719584,663.719584,false,1,0,"Fast speech to text should feel instant.","Yeah, I think we'll see. "
"79393B2D-C597-4899-B2FF-2A3CB9026029","2026-08-15T20:01:24Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",11,654.227604,654.227604,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"F37EA901-6DBB-4A68-9544-86AF8933A90A","2026-08-15T20:01:32Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",12,549.688334,549.688334,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"1FF3C436-A59D-468E-9BA0-841D9C0C65AE","2026-08-15T20:01:40Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",13,637.906125,637.906125,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"81C4F845-926B-4CA4-800C-7BBEBDD6189A","2026-08-15T20:01:48Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",14,584.941521,584.941521,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"43D499DC-B4B3-44E7-BDA7-2B5EA5356735","2026-08-15T20:01:56Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",15,595.959917,595.959917,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"568E623D-61AE-4847-9B77-6E8270E572B7","2026-08-15T20:02:04Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",16,872.374584,872.374584,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"39774B37-A450-4FDA-9C29-5B4111071664","2026-08-15T20:02:12Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",17,646.617333,646.617333,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"4A3C9475-1173-4346-BA76-529940971661","2026-08-15T20:02:19Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",18,485.25075,485.25075,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"107B56F2-30A2-4240-8095-2B194FD97063","2026-08-15T20:02:27Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",19,532.404291,532.404291,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"F1AA5029-151A-466B-B987-31E950E54537","2026-08-15T20:02:34Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",20,564.096187,564.096187,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"F5F2FC2C-7110-46F7-A38D-E78B917462B4","2026-08-15T20:02:42Z","Aqua Voice","0.18.22","Avalon v1.1 cloud","Fn","neutral-01",21,844.429188,844.429188,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"8DD79D1D-392A-494B-A5D6-95E8F3572083","2026-08-13T16:21:59Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",2,1131.75475,1131.75475,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"2169A40D-B9D3-4936-800B-B88D4AE38A9E","2026-08-13T16:22:06Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",3,1168.020125,1168.020125,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"56807107-9399-4DD3-9301-7587F01F9AAF","2026-08-13T16:22:13Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",4,1178.874125,1178.874125,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"AABD1EA4-71F6-43D7-BF72-02896C787CBE","2026-08-13T16:22:20Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",5,1109.549583,1109.549583,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"5F0AAEA2-CE97-4BB9-8F71-661BBD7C331D","2026-08-13T16:22:26Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",6,1226.447458,1226.447458,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"9655DBBB-A544-48C8-ADB6-176C7498D229","2026-08-13T16:22:33Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",7,1253.093584,1253.093584,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"E41C2253-D890-43AD-AF60-7844E61B006D","2026-08-13T16:22:40Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",8,1135.076792,1135.076792,false,1,0,"Fast speech to text should feel instant.","Delta Force. Delta Force. "
"E6B8FB6C-0E59-40C4-AD86-39C7FDE0A185","2026-08-13T16:22:46Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",9,1195.872208,1195.872208,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"72BDCCF2-5F16-4998-ABCE-E4A37D214DC3","2026-08-13T16:22:53Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",10,1153.115792,1153.115792,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"415FCB35-F93C-4288-9514-36846C5E7235","2026-08-13T16:23:00Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",11,1134.73625,1134.73625,false,1,0,"Fast speech to text should feel instant.","-Tek "
"69489723-EDB9-4B27-91C8-B610A16D01FA","2026-08-13T16:23:07Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",12,1159.828209,1159.828209,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"7275E4AC-6EC3-4A3D-9A29-F2D7FE31D0B6","2026-08-13T16:23:14Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",13,1142.13975,1142.13975,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"8569014D-0D5E-4943-8A51-686A5E7C468E","2026-08-13T16:23:21Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",14,1200.936417,1200.936417,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"0DAC3DB1-632F-4553-B70D-DFAB00ABEAD7","2026-08-13T16:23:28Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",15,1144.576083,1144.576083,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"288BF34C-1676-4781-B8BD-11E77041A438","2026-08-13T16:23:34Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",16,1186.045583,1186.045583,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"509E9DB8-C49A-4540-9C7A-246C6DED38C3","2026-08-13T16:23:41Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",17,1134.024833,1134.024833,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"DB9852C8-6474-420A-BF86-B28618E4E5AA","2026-08-13T16:23:48Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",18,1191.805375,1191.805375,false,1,0,"Fast speech to text should feel instant.","Równoszka tekst "
"3EC89C1D-8260-48B8-A505-70EF371A37BA","2026-08-13T16:23:55Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",19,1135.15175,1135.15175,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"562C087C-2AB6-4B81-BCDB-11CB38088ECC","2026-08-13T16:24:01Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",20,1143.506667,1143.506667,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"092087CE-ACC2-4BC3-9173-E78D91E5E730","2026-08-13T16:24:08Z","MacWhisper","14.7","Large v3 Turbo local","Fn","neutral-01",21,1140.460334,1140.460334,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"19A821F7-A8B6-4803-A788-BCE047C1FF4D","2026-08-15T15:48:44Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",3,192.386438,192.386438,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"500888DE-C867-4A49-9851-BB3D53E2F8D2","2026-08-15T15:48:51Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",4,172.472354,172.472354,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"D5741C9E-339A-4294-BAA5-8D5379DD1C34","2026-08-15T15:48:58Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",5,195.558709,195.558709,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"C83B80F5-4387-4B2C-9BDA-D0143FB3DF10","2026-08-15T15:49:05Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",6,183.437542,183.437542,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"01F7D419-6A58-4E36-B887-15374F4FDD49","2026-08-15T15:49:12Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",7,215.304583,215.304583,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"424DCDE7-4C43-4799-A88A-F632DFDD46FE","2026-08-15T15:49:19Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",8,209.322354,209.322354,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"27D488D9-766B-4FC1-B297-E547F547F4FB","2026-08-15T15:49:26Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",9,198.523459,198.523459,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"C8D0F805-C912-4B24-954A-9564E1418004","2026-08-15T15:49:33Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",10,196.771459,196.771459,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
"2AB3D83E-E163-494B-8D5C-1AE329AEF495","2026-08-15T15:49:40Z","Spokenly","2.27.16","Parakeet TDT 0.6B V3 local","Spokenly deeplink","neutral-01",11,156.31298,156.31298,false,0,1,"Fast speech to text should feel instant.","Fast speech to text should feel instant. "
